iter	RMSE
0	7577.902364
1	7436.393303
2	7278.726461
3	7143.857522
4	7014.666602
5	6874.039716
6	6755.235808
7	6629.203099
8	6495.975286
9	6390.157203
10	6280.186972
11	6171.580077
12	6066.063387
13	5962.129109
14	5837.358448
15	5728.638602
16	5612.905512
17	5505.312159
18	5404.892741
19	5313.93272
20	5218.251692
21	5115.266721
22	5033.282752
23	4961.910936
24	4873.659685
25	4797.145132
26	4710.853614
27	4621.048772
28	4552.911709
29	4472.654519
30	4404.586059
31	4328.534223
32	4250.314179
33	4178.999553
34	4114.156617
35	4057.761879
36	4005.335794
37	3952.091579
38	3903.449769
39	3847.825607
40	3794.223163
41	3733.949374
42	3687.076168
43	3638.510843
44	3580.483377
45	3535.188965
46	3478.915571
47	3442.896328
48	3394.740693
49	3351.271154
50	3311.767432
51	3272.415961
52	3234.157611
53	3190.557282
54	3153.649619
55	3117.032557
56	3074.551182
57	3043.274771
58	3010.788456
59	2971.700678
60	2941.638429
61	2916.425272
62	2891.891592
63	2859.824683
64	2831.165471
65	2801.233575
66	2773.297205
67	2755.769878
68	2733.487332
69	2705.489631
70	2684.50697
71	2658.117787
72	2640.541491
73	2621.315904
74	2598.406255
75	2579.903115
76	2559.855283
77	2537.433237
78	2518.883144
79	2503.719165
80	2481.84001
81	2466.267825
82	2447.426493
83	2425.229267
84	2410.378392
85	2393.99321
86	2381.739474
87	2365.819936
88	2352.196897
89	2340.266553
90	2329.862046
91	2317.350105
92	2300.661701
93	2290.968126
94	2276.603933
95	2265.399745
96	2257.056058
97	2243.78309
98	2230.755192
99	2223.198825
100	2213.497097
101	2201.686867
102	2190.001308
103	2179.961654
104	2167.080451
105	2154.811589
106	2143.488271
107	2134.576638
108	2129.295978
109	2119.193557
110	2113.124974
111	2101.809686
112	2090.016471
113	2080.536316
114	2068.725662
115	2059.265805
116	2051.851071
117	2044.782895
118	2039.332638
119	2034.434565
120	2024.385458
121	2017.843246
122	2007.995974
123	2002.008898
124	1998.129803
125	1995.3208
126	1988.758621
127	1978.119998
128	1972.312219
129	1967.684926
130	1956.316618
131	1952.403775
132	1944.717292
133	1936.351987
134	1932.554159
135	1923.200627
136	1915.188808
137	1912.261365
138	1909.878951
139	1902.448641
140	1893.399992
141	1885.994326
142	1883.990713
143	1880.462373
144	1877.697599
145	1874.49256
146	1872.91654
147	1868.233233
148	1861.551169
149	1858.608886
150	1853.789224
151	1852.173682
152	1845.566086
153	1842.536444
154	1837.541856
155	1835.758522
156	1828.081116
157	1825.240095
158	1823.112178
159	1820.293658
160	1815.376012
161	1808.654343
162	1802.963166
163	1800.231764
164	1794.202529
165	1793.13031
166	1789.41316
167	1786.989573
168	1784.373591
169	1781.950587
170	1778.887051
171	1774.179614
172	1770.157757
173	1762.891114
174	1755.529273
175	1751.132481
176	1748.427026
177	1747.194147
178	1745.112939
179	1743.607702
180	1737.37305
181	1736.513057
182	1734.01784
183	1726.580558
184	1721.584393
185	1716.484274
186	1713.128019
187	1711.702623
188	1706.711621
189	1704.538341
190	1700.916794
191	1698.616936
192	1692.142236
193	1689.485452
194	1687.163153
195	1685.636114
196	1682.06729
197	1677.092455
198	1671.813812
199	1670.718902
200	1663.977529
201	1661.191886
202	1657.256072
203	1655.59648
204	1654.283218
205	1650.38764
206	1649.180126
207	1646.612203
208	1644.616257
209	1642.886557
210	1639.332302
211	1637.661641
212	1632.33058
213	1630.568525
214	1629.143415
215	1625.34398
216	1624.146994
217	1623.08485
218	1621.353782
219	1619.605157
220	1618.034003
221	1616.20022
222	1610.350865
223	1605.796399
224	1601.50173
225	1600.313041
226	1599.50574
227	1597.29494
228	1593.741686
229	1592.436415
230	1590.502463
231	1588.431551
232	1587.488669
233	1580.720434
234	1578.194989
235	1576.562359
236	1573.4286
237	1571.187093
238	1569.214447
239	1566.732428
240	1565.42551
241	1563.573312
242	1556.730758
243	1554.764406
244	1553.623271
245	1552.840968
246	1550.64273
247	1549.176323
248	1547.595056
249	1539.57946
250	1538.68709
251	1537.630798
252	1536.261132
253	1534.446133
254	1533.692472
255	1532.923319
256	1532.352272
257	1530.953
258	1522.832681
259	1520.769869
260	1518.816294
261	1514.586454
262	1513.059767
263	1512.233909
264	1511.275696
265	1507.121387
266	1505.41277
267	1503.56642
268	1501.7621
269	1495.176112
270	1491.997108
271	1485.21189
272	1479.74343
273	1478.222534
274	1476.911591
275	1475.965246
276	1474.692992
277	1472.978671
278	1472.346552
279	1467.440102
280	1465.974096
281	1459.044697
282	1456.941477
283	1455.772977
284	1455.184438
285	1453.298919
286	1451.74845
287	1450.391854
288	1444.449562
289	1441.556045
290	1440.475058
291	1439.703005
292	1437.666787
293	1434.791063
294	1433.603691
295	1432.524696
296	1432.132004
297	1431.591328
298	1430.480139
299	1427.099873
300	1425.604195
301	1424.142467
302	1423.567445
303	1418.8169
304	1416.219404
305	1413.696942
306	1412.860096
307	1411.596323
308	1410.193007
309	1404.93616
310	1404.252412
311	1400.036652
312	1398.405771
313	1397.885469
314	1396.51681
315	1396.125612
316	1394.466913
317	1393.84814
318	1393.243216
319	1392.606234
320	1389.897435
321	1384.757511
322	1379.132617
323	1375.068055
324	1370.350819
325	1368.757513
326	1364.036896
327	1359.216659
328	1358.590251
329	1353.834114
330	1353.330975
331	1350.182482
332	1349.816175
333	1346.988165
334	1343.278278
335	1338.498506
336	1337.394261
337	1336.848526
338	1331.767137
339	1325.793183
340	1325.258112
341	1322.585911
342	1318.482449
343	1315.849215
344	1311.549321
345	1306.448035
346	1306.016003
347	1303.658611
348	1301.134858
349	1295.928851
350	1295.469839
351	1294.95683
352	1289.914181
353	1289.449914
354	1288.586995
355	1283.31762
356	1279.225753
357	1277.68397
358	1277.115586
359	1273.346437
360	1270.92267
361	1266.166649
362	1262.057385
363	1261.786731
364	1261.304259
365	1257.134472
366	1253.718757
367	1250.600122
368	1246.385004
369	1244.940362
370	1241.65356
371	1237.809369
372	1236.824381
373	1236.347207
374	1233.992669
375	1233.62253
376	1230.061825
377	1229.527541
378	1228.916601
379	1225.077864
380	1223.482097
381	1221.021702
382	1219.087526
383	1216.780173
384	1216.261531
385	1212.344586
386	1212.004425
387	1208.722594
388	1208.392635
389	1204.216923
390	1200.759142
391	1198.927923
392	1196.082035
393	1192.598992
394	1192.285102
395	1188.380026
396	1187.878075
397	1187.032785
398	1183.975089
399	1182.013524
400	1180.480321
401	1177.175627
402	1176.332906
403	1172.909914
404	1170.674894
405	1169.910695
406	1166.835714
407	1162.299209
408	1161.99537
409	1157.962153
410	1154.643317
411	1151.265911
412	1150.807099
413	1149.985365
414	1147.09091
415	1143.691146
416	1142.656642
417	1139.001353
418	1136.047253
419	1135.088105
420	1134.640137
421	1133.539319
422	1130.462072
423	1127.937687
424	1127.197187
425	1124.456615
426	1123.76718
427	1120.387463
428	1117.336157
429	1117.006416
430	1113.924768
431	1110.554716
432	1109.425174
433	1106.551346
434	1105.232917
435	1104.929131
436	1101.615695
437	1099.043977
