iter	Passed	Remaining
470	734	824
471	735	823
472	737	821
473	739	820
474	740	818
475	742	817
476	743	815
477	745	813
478	746	811
479	747	810
480	749	808
481	750	807
482	752	805
483	754	804
484	755	802
485	757	800
486	758	799
487	760	797
488	761	795
489	763	794
490	764	792
491	766	790
492	767	789
493	769	788
494	770	786
495	772	784
496	773	782
497	774	781
498	776	779
499	777	777
500	779	776
501	781	775
502	783	774
503	785	772
504	786	771
505	788	769
506	790	768
507	791	766
508	792	764
509	794	763
510	795	761
511	797	760
512	799	758
513	800	757
514	802	755
515	803	753
516	804	751
517	806	750
518	807	748
519	809	746
520	810	745
521	811	743
522	813	742
523	815	741
524	817	739
525	818	737
526	820	736
527	821	734
528	822	732
529	824	730
530	825	729
531	826	727
532	828	725
533	830	725
534	832	723
535	834	722
536	835	720
537	836	718
538	838	717
539	839	715
540	841	713
541	842	711
542	844	710
543	846	709
544	848	708
545	849	706
546	851	704
547	852	703
548	853	701
549	855	699
550	856	697
551	857	696
552	859	694
553	861	693
554	863	692
555	864	690
556	866	688
557	867	687
558	868	685
559	870	683
560	871	682
561	873	680
562	874	678
563	876	677
564	878	676
565	879	674
566	881	673
567	882	671
568	884	669
569	885	668
570	886	666
571	888	664
572	889	662
573	891	661
574	893	660
575	894	658
576	896	657
577	897	655
578	899	653
579	900	652
580	901	650
581	903	648
582	904	647
583	906	645
584	908	644
585	909	642
586	911	641
587	912	639
588	914	637
589	915	636
590	916	634
591	918	633
592	920	631
593	922	630
594	924	629
595	926	628
596	928	626
597	929	624
598	930	623
599	932	621
600	933	620
601	935	618
602	936	616
603	938	615
604	940	614
605	942	612
606	943	611
607	945	609
608	946	607
609	948	606
610	949	604
611	951	602
612	952	601
613	954	599
614	956	598
615	957	596
616	958	595
617	960	593
618	961	591
619	962	590
620	964	588
621	965	586
622	967	585
623	968	583
624	970	582
625	972	581
626	974	579
627	975	577
628	976	576
629	978	574
630	979	572
631	980	571
632	982	569
633	983	567
634	985	566
635	987	565
636	989	563
637	990	562
638	992	560
639	993	558
640	994	557
641	996	555
642	997	553
643	998	552
644	1000	550
645	1002	549
646	1004	547
647	1005	546
648	1006	544
649	1008	542
650	1009	541
651	1011	539
652	1012	538
653	1014	536
654	1016	535
655	1018	533
656	1019	532
657	1021	530
658	1022	529
659	1024	527
660	1025	525
661	1026	524
662	1028	522
663	1033	522
664	1035	521
665	1036	519
666	1038	518
667	1039	516
668	1040	514
669	1041	513
670	1043	511
671	1044	509
672	1046	508
673	1047	506
674	1049	505
675	1051	503
676	1052	502
677	1053	500
678	1054	498
679	1056	497
680	1057	495
681	1059	493
682	1060	492
683	1062	490
684	1063	489
685	1065	487
686	1066	486
687	1068	484
688	1069	482
689	1070	480
690	1071	479
691	1073	477
692	1074	476
693	1076	474
694	1077	473
695	1079	471
696	1081	469
697	1082	468
